icd10_root,gbd_cause_lvl3,gbd_cause_lvl2
J05,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J06,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J09,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J10,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J11,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J12,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J13,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J14,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J15,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J16,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J20,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J21,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J36,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
J91,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
K52,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
K67,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
K75,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
K76,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
K77,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
K93,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
M03,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
M12,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
M49,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
M73,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
M89,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
N74,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
N96,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
N98,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O00,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O01,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O02,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O03,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O04,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O05,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O06,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O07,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O09,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O10,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O11,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O12,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O13,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O14,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O15,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O16,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O20,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O21,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O22,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O23,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O24,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O25,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O26,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O28,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O29,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O30,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O31,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O32,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O33,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O34,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O35,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O36,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O40,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O41,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O42,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O43,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O44,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O45,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O46,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O47,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O48,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O60,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O61,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O62,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O63,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O64,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O65,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O66,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O67,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O68,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O69,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O70,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O71,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O72,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O73,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O74,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O75,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O76,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O77,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O80,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O81,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O82,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O83,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O84,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O85,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O86,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O87,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O88,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O89,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O90,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O91,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
O92,"Communicable, maternal, neonatal, and nutritional diseases","Communicable, maternal, neonatal, and nutritional diseases"
