ICD10,ICD10 Name,USCOD,USCOD name,
A18.1 ,Tuberculosis of genitourinary system ,A_1,HIV & Tuberculosis,
A18.2 ,Tuberculous peripheral lymphadenopathy ,A_1,HIV & Tuberculosis,
A18.3 ,"Tuberculosis of intestines, peritoneum and mesenteric glands ",A_1,HIV & Tuberculosis,
A18.4 ,Tuberculosis of skin and subcutaneous tissue ,A_1,HIV & Tuberculosis,
A18.5 ,Tuberculosis of eye ,A_1,HIV & Tuberculosis,
A18.6 ,Tuberculosis of ear ,A_1,HIV & Tuberculosis,
A18.7+ ,Tuberculosis of adrenal glands ( E35.1* ),A_1,HIV & Tuberculosis,
A18.8 ,Tuberculosis of other specified organs ,A_1,HIV & Tuberculosis,
A18.9,"There is not this code in ICD10 site, but we have this in mortality data",A_1,HIV & Tuberculosis,
A19 ,Miliary tuberculosis ,A_1,HIV & Tuberculosis,
A19.0 ,Acute miliary tuberculosis of a single specified site ,A_1,HIV & Tuberculosis,
A19.1 ,Acute miliary tuberculosis of multiple sites ,A_1,HIV & Tuberculosis,
A19.2 ,"Acute miliary tuberculosis, unspecified ",A_1,HIV & Tuberculosis,
A19.8 ,Other miliary tuberculosis ,A_1,HIV & Tuberculosis,
A19.9 ,"Miliary tuberculosis, unspecified ",A_1,HIV & Tuberculosis,
A20 ,Plague ,A_5,Other Communicable,
A20.0 ,Bubonic plague ,A_5,Other Communicable,
A20.1 ,Cellulocutaneous plague ,A_5,Other Communicable,
A20.2 ,Pneumonic plague ,A_5,Other Communicable,
A20.3 ,Plague meningitis ,A_5,Other Communicable,
A20.7 ,Septicaemic plague ,A_5,Other Communicable,
A20.8 ,Other forms of plague ,A_5,Other Communicable,
A20.9 ,"Plague, unspecified ",A_5,Other Communicable,
A21 ,Tularaemia ,A_5,Other Communicable,
A21.0 ,Ulceroglandular tularaemia ,A_5,Other Communicable,
A21.1 ,Oculoglandular tularaemia ,A_5,Other Communicable,
A21.2 ,Pulmonary tularaemia ,A_5,Other Communicable,
A21.3 ,Gastrointestinal tularaemia ,A_5,Other Communicable,
A21.7 ,Generalized tularaemia ,A_5,Other Communicable,
A21.8 ,Other forms of tularaemia ,A_5,Other Communicable,
A21.9 ,"Tularaemia, unspecified ",A_5,Other Communicable,
A22 ,Anthrax ,A_5,Other Communicable,
A22.0 ,Cutaneous anthrax ,A_5,Other Communicable,
A22.1 ,Pulmonary anthrax ,A_5,Other Communicable,
A22.2 ,Gastrointestinal anthrax ,A_5,Other Communicable,
A22.7 ,Anthrax septicaemia ,A_5,Other Communicable,
A22.8 ,Other forms of anthrax ,A_5,Other Communicable,
A22.9 ,"Anthrax, unspecified ",A_5,Other Communicable,
A23 ,Brucellosis ,A_5,Other Communicable,
A23.0 ,Brucellosis due to Brucella melitensis ,A_5,Other Communicable,
A23.1 ,Brucellosis due to Brucella abortus ,A_5,Other Communicable,
A23.2 ,Brucellosis due to Brucella suis ,A_5,Other Communicable,
A23.3 ,Brucellosis due to Brucella canis ,A_5,Other Communicable,
A23.8 ,Other brucellosis ,A_5,Other Communicable,
A23.9 ,"Brucellosis, unspecified ",A_5,Other Communicable,
A24 ,Glanders and melioidosis ,A_5,Other Communicable,
A24.0 ,Glanders ,A_5,Other Communicable,
A24.1 ,Acute and fulminating melioidosis ,A_5,Other Communicable,
A24.2 ,Subacute and chronic melioidosis ,A_5,Other Communicable,
A24.3 ,Other melioidosis ,A_5,Other Communicable,
A24.4 ,"Melioidosis, unspecified ",A_5,Other Communicable,
A25 ,Rat-bite fevers ,A_5,Other Communicable,
A25.0 ,Spirillosis ,A_5,Other Communicable,
A25.1 ,Streptobacillosis ,A_5,Other Communicable,
A25.9 ,"Rat-bite fever, unspecified ",A_5,Other Communicable,
A26 ,Erysipeloid ,A_5,Other Communicable,
A26.0 ,Cutaneous erysipeloid ,A_5,Other Communicable,
A26.7 ,Erysipelothrix septicaemia ,A_5,Other Communicable,
A26.8 ,Other forms of erysipeloid ,A_5,Other Communicable,
A26.9 ,"Erysipeloid, unspecified ",A_5,Other Communicable,
A27 ,Leptospirosis ,A_5,Other Communicable,
A27.0 ,Leptospirosis icterohaemorrhagica ,A_5,Other Communicable,
A27.8 ,Other forms of leptospirosis ,A_5,Other Communicable,
A27.9 ,"Leptospirosis, unspecified ",A_5,Other Communicable,
A28 ,"Other zoonotic bacterial diseases, not elsewhere classified ",A_5,Other Communicable,
A28.0 ,Pasteurellosis ,A_5,Other Communicable,
A28.1 ,Cat-scratch disease ,A_5,Other Communicable,
A28.2 ,Extraintestinal yersiniosis ,A_5,Other Communicable,
A28.8 ,"Other specified zoonotic bacterial diseases, not elsewhere classified ",A_5,Other Communicable,
A28.9 ,"Zoonotic bacterial disease, unspecified ",A_5,Other Communicable,
A30 ,Leprosy [Hansen's disease] ,A_5,Other Communicable,
A30.0 ,Indeterminate leprosy ,A_5,Other Communicable,
A30.1 ,Tuberculoid leprosy ,A_5,Other Communicable,
A30.2 ,Borderline tuberculoid leprosy ,A_5,Other Communicable,
A30.3 ,Borderline leprosy ,A_5,Other Communicable,
A30.4 ,Borderline lepromatous leprosy ,A_5,Other Communicable,
A30.5 ,Lepromatous leprosy ,A_5,Other Communicable,
A30.8 ,Other forms of leprosy ,A_5,Other Communicable,
A30.9 ,"Leprosy, unspecified ",A_5,Other Communicable,
A31 ,Infection due to other mycobacteria ,A_5,Other Communicable,
A31.0 ,Pulmonary mycobacterial infection ,A_5,Other Communicable,
A31.1 ,Cutaneous mycobacterial infection ,A_5,Other Communicable,
A31.8 ,Other mycobacterial infections ,A_5,Other Communicable,
A31.9 ,"Mycobacterial infection, unspecified ",A_5,Other Communicable,
A32 ,Listeriosis ,A_5,Other Communicable,
A32.0 ,Cutaneous listeriosis ,A_5,Other Communicable,
A32.1+ ,Listerial meningitis and meningoencephalitis ,A_5,Other Communicable,
A32.7 ,Listerial septicaemia ,A_5,Other Communicable,
A32.8 ,Other forms of listeriosis ,A_5,Other Communicable,
A32.9 ,"Listeriosis, unspecified ",A_5,Other Communicable,
A33 ,Tetanus neonatorum ,A_5,Other Communicable,
A34 ,Obstetrical tetanus ,A_5,Other Communicable,
A35 ,Other tetanus ,A_5,Other Communicable,
A36 ,Diphtheria ,A_5,Other Communicable,
A36.0 ,Pharyngeal diphtheria ,A_5,Other Communicable,
A36.1 ,Nasopharyngeal diphtheria ,A_5,Other Communicable,
A36.2 ,Laryngeal diphtheria ,A_5,Other Communicable,
A36.3 ,Cutaneous diphtheria ,A_5,Other Communicable,
A36.8 ,Other diphtheria ,A_5,Other Communicable,
A36.9 ,"Diphtheria, unspecified ",A_5,Other Communicable,
A37 ,Whooping cough ,A_5,Other Communicable,
A37.0 ,Whooping cough due to Bordetella pertussis ,A_5,Other Communicable,
A37.1 ,Whooping cough due to Bordetella parapertussis ,A_5,Other Communicable,
A37.8 ,Whooping cough due to other Bordetella species ,A_5,Other Communicable,
A37.9 ,"Whooping cough, unspecified ",A_5,Other Communicable,
A38 ,Scarlet fever ,A_5,Other Communicable,
A39 ,Meningococcal infection ,A_5,Other Communicable,
A39.0+ ,Meningococcal meningitis ( G01* ),A_5,Other Communicable,
A39.1+ ,Waterhouse-Friderichsen syndrome ( E35.1* ),A_5,Other Communicable,
A39.2 ,Acute meningococcaemia ,A_5,Other Communicable,
A39.3 ,Chronic meningococcaemia ,A_5,Other Communicable,
A39.4 ,"Meningococcaemia, unspecified ",A_5,Other Communicable,
A39.5+ ,Meningococcal heart disease ,A_5,Other Communicable,
A39.8 ,Other meningococcal infections ,A_5,Other Communicable,
A39.9 ,"Meningococcal infection, unspecified ",A_5,Other Communicable,
A40 ,Streptococcal septicaemia ,G_1,Septicemia,
A40.0 ,"Septicaemia due to streptococcus, group A ",G_1,Septicemia,
A40.1 ,"Septicaemia due to streptococcus, group B ",G_1,Septicemia,
A40.2 ,"Septicaemia due to streptococcus, group D ",G_1,Septicemia,
A40.3 ,Septicaemia due to Streptococcus pneumoniae ,G_1,Septicemia,
A40.8 ,Other streptococcal septicaemia ,G_1,Septicemia,
A40.9 ,"Streptococcal septicaemia, unspecified ",G_1,Septicemia,
A41 ,Other septicaemia ,G_1,Septicemia,
A41.0 ,Septicaemia due to Staphylococcus aureus ,G_1,Septicemia,
A41.1 ,Septicaemia due to other specified staphylococcus ,G_1,Septicemia,
A41.2 ,Septicaemia due to unspecified staphylococcus ,G_1,Septicemia,
A41.3 ,Septicaemia due to Haemophilus influenzae ,G_1,Septicemia,
A41.4 ,Septicaemia due to anaerobes ,G_1,Septicemia,
A41.5 ,Septicaemia due to other Gram-negative organisms ,G_1,Septicemia,
A41.8 ,Other specified septicaemia ,G_1,Septicemia,
A41.9 ,"Septicaemia, unspecified ",G_1,Septicemia,
A42 ,Actinomycosis ,A_5,Other Communicable,
A42.0 ,Pulmonary actinomycosis ,A_5,Other Communicable,
A42.1 ,Abdominal actinomycosis ,A_5,Other Communicable,
A42.2 ,Cervicofacial actinomycosis ,A_5,Other Communicable,
A42.7 ,Actinomycotic septicaemia ,A_5,Other Communicable,
A42.8 ,Other forms of actinomycosis ,A_5,Other Communicable,
A42.9 ,"Actinomycosis, unspecified ",A_5,Other Communicable,
A43 ,Nocardiosis ,A_5,Other Communicable,
A43.0 ,Pulmonary nocardiosis ,A_5,Other Communicable,
A43.1 ,Cutaneous nocardiosis ,A_5,Other Communicable,
A43.8 ,Other forms of nocardiosis ,A_5,Other Communicable,
A43.9 ,"Nocardiosis, unspecified ",A_5,Other Communicable,
A44 ,Bartonellosis ,A_5,Other Communicable,
A44.0 ,Systemic bartonellosis ,A_5,Other Communicable,
A44.1 ,Cutaneous and mucocutaneous bartonellosis ,A_5,Other Communicable,
A44.8 ,Other forms of bartonellosis ,A_5,Other Communicable,
A44.9 ,"Bartonellosis, unspecified ",A_5,Other Communicable,
A46 ,Erysipelas ,A_5,Other Communicable,
A48 ,"Other bacterial diseases, not elsewhere classified ",A_5,Other Communicable,
A48.0 ,Gas gangrene ,A_5,Other Communicable,
A48.1 ,Legionnaires' disease ,A_5,Other Communicable,
A48.2 ,Nonpneumonic Legionnaires' disease [Pontiac fever] ,A_5,Other Communicable,
A48.3 ,Toxic shock syndrome ,A_5,Other Communicable,
A48.4 ,Brazilian purpuric fever ,A_5,Other Communicable,
A48.8 ,Other specified bacterial diseases ,A_5,Other Communicable,
A49 ,Bacterial infection of unspecified site ,A_5,Other Communicable,
A49.0 ,"Staphylococcal infection, unspecified ",A_5,Other Communicable,
A49.1 ,"Streptococcal infection, unspecified ",A_5,Other Communicable,
A49.2 ,"Haemophilus influenzae infection, unspecified ",A_5,Other Communicable,
A49.3 ,"Mycoplasma infection, unspecified ",A_5,Other Communicable,
A49.8 ,Other bacterial infections of unspecified site ,A_5,Other Communicable,
A49.9 ,"Bacterial infection, unspecified ",A_5,Other Communicable,
A50 ,Congenital syphilis ,A_5,Other Communicable,
A50.0 ,"Early congenital syphilis, symptomatic ",A_5,Other Communicable,
A50.1 ,"Early congenital syphilis, latent ",A_5,Other Communicable,
A50.2 ,"Early congenital syphilis, unspecified ",A_5,Other Communicable,
A50.3 ,Late congenital syphilitic oculopathy ,A_5,Other Communicable,
A50.4 ,Late congenital neurosyphilis [juvenile neurosyphilis] ,A_5,Other Communicable,
A50.5 ,"Other late congenital syphilis, symptomatic ",A_5,Other Communicable,
A50.6 ,"Late congenital syphilis, latent ",A_5,Other Communicable,
A50.7 ,"Late congenital syphilis, unspecified ",A_5,Other Communicable,
A50.9 ,"Congenital syphilis, unspecified ",A_5,Other Communicable,
A51 ,Early syphilis ,A_5,Other Communicable,
A51.0 ,Primary genital syphilis ,A_5,Other Communicable,
A51.1 ,Primary anal syphilis ,A_5,Other Communicable,
A51.2 ,Primary syphilis of other sites ,A_5,Other Communicable,
A51.3 ,Secondary syphilis of skin and mucous membranes ,A_5,Other Communicable,
A51.4 ,Other secondary syphilis ,A_5,Other Communicable,
A51.5 ,"Early syphilis, latent ",A_5,Other Communicable,
A51.9 ,"Early syphilis, unspecified ",A_5,Other Communicable,
A52 ,Late syphilis ,A_5,Other Communicable,
A52.0+ ,Cardiovascular syphilis ,A_5,Other Communicable,
A52.1 ,Symptomatic neurosyphilis ,A_5,Other Communicable,
A52.2 ,Asymptomatic neurosyphilis ,A_5,Other Communicable,
A52.3 ,"Neurosyphilis, unspecified ",A_5,Other Communicable,
A52.7 ,Other symptomatic late syphilis ,A_5,Other Communicable,
A52.8 ,"Late syphilis, latent ",A_5,Other Communicable,
A52.9 ,"Late syphilis, unspecified ",A_5,Other Communicable,
A53 ,Other and unspecified syphilis ,A_5,Other Communicable,
A53.0 ,"Latent syphilis, unspecified as early or late ",A_5,Other Communicable,
A53.9 ,"Syphilis, unspecified ",A_5,Other Communicable,
A54 ,Gonococcal infection ,A_5,Other Communicable,
A54.0 ,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess ,A_5,Other Communicable,
A54.1 ,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess ,A_5,Other Communicable,
A54.2 ,Gonococcal pelviperitonitis and other gonococcal genitourinary infections ,A_5,Other Communicable,
A54.3 ,Gonococcal infection of eye ,A_5,Other Communicable,
A54.4+ ,Gonococcal infection of musculoskeletal system ,A_5,Other Communicable,
A54.5 ,Gonococcal pharyngitis ,A_5,Other Communicable,
A54.6 ,Gonococcal infection of anus and rectum ,A_5,Other Communicable,
A54.8 ,Other gonococcal infections ,A_5,Other Communicable,
A54.9 ,"Gonococcal infection, unspecified ",A_5,Other Communicable,
A55 ,Chlamydial lymphogranuloma (venereum) ,A_5,Other Communicable,
A56 ,Other sexually transmitted chlamydial diseases ,A_5,Other Communicable,
A56.0 ,Chlamydial infection of lower genitourinary tract ,A_5,Other Communicable,
A56.1 ,Chlamydial infection of pelviperitoneum and other genitourinary organs ,A_5,Other Communicable,
A56.2 ,"Chlamydial infection of genitourinary tract, unspecified ",A_5,Other Communicable,
A56.3 ,Chlamydial infection of anus and rectum ,A_5,Other Communicable,
A56.4 ,Chlamydial infection of pharynx ,A_5,Other Communicable,
A56.8 ,Sexually transmitted chlamydial infection of other sites ,A_5,Other Communicable,
A57 ,Chancroid ,A_5,Other Communicable,
A58 ,Granuloma inguinale ,A_5,Other Communicable,
A59 ,Trichomoniasis ,A_5,Other Communicable,
A59.0 ,Urogenital trichomoniasis ,A_5,Other Communicable,
A59.8 ,Trichomoniasis of other sites ,A_5,Other Communicable,
A59.9 ,"Trichomoniasis, unspecified ",A_5,Other Communicable,
A60 ,Anogenital herpesviral [herpes simplex] infection ,A_5,Other Communicable,
A60.0 ,Herpesviral infection of genitalia and urogenital tract ,A_5,Other Communicable,
A60.1 ,Herpesviral infection of perianal skin and rectum ,A_5,Other Communicable,
A60.9 ,"Anogenital herpesviral infection, unspecified ",A_5,Other Communicable,
A63 ,"Other predominantly sexually transmitted diseases, not elsewhere classified ",A_5,Other Communicable,
A63.0 ,Anogenital (venereal) warts ,A_5,Other Communicable,
A63.8 ,Other specified predominantly sexually transmitted diseases ,A_5,Other Communicable,
A64 ,Unspecified sexually transmitted disease ,A_5,Other Communicable,
A65 ,Nonvenereal syphilis ,A_5,Other Communicable,
A66 ,Yaws ,A_5,Other Communicable,
A66.0 ,Initial lesions of yaws ,A_5,Other Communicable,
A66.1 ,Multiple papillomata and wet crab yaws ,A_5,Other Communicable,
A66.2 ,Other early skin lesions of yaws ,A_5,Other Communicable,
A66.3 ,Hyperkeratosis of yaws ,A_5,Other Communicable,
A66.4 ,Gummata and ulcers of yaws ,A_5,Other Communicable,
A66.5 ,Gangosa ,A_5,Other Communicable,
A66.6 ,Bone and joint lesions of yaws ,A_5,Other Communicable,
A66.7 ,Other manifestations of yaws ,A_5,Other Communicable,
A66.8 ,Latent yaws ,A_5,Other Communicable,
A66.9 ,"Yaws, unspecified ",A_5,Other Communicable,
A67 ,Pinta [carate] ,A_5,Other Communicable,
A67.0 ,Primary lesions of pinta ,A_5,Other Communicable,
A67.1 ,Intermediate lesions of pinta ,A_5,Other Communicable,
A67.2 ,Late lesions of pinta ,A_5,Other Communicable,
A67.3 ,Mixed lesions of pinta ,A_5,Other Communicable,
A67.7,"There is not this code in ICD10 site, but we have this in mortality data",A_5,Other Communicable,
A67.9 ,"Pinta, unspecified ",A_5,Other Communicable,
A68 ,Relapsing fevers ,A_5,Other Communicable,
A68.0 ,Louse-borne relapsing fever ,A_5,Other Communicable,
A68.1 ,Tick-borne relapsing fever ,A_5,Other Communicable,
A68.9 ,"Relapsing fever, unspecified ",A_5,Other Communicable,
A69 ,Other spirochaetal infections ,A_5,Other Communicable,
A69.0 ,Necrotizing ulcerative stomatitis ,A_5,Other Communicable,
A69.1 ,Other Vincent's infections ,A_5,Other Communicable,
A69.2 ,Lyme disease ,A_5,Other Communicable,
A69.5,"There is not this code in ICD10 site, but we have this in mortality data",A_5,Other Communicable,
A69.8 ,Other specified spirochaetal infections ,A_5,Other Communicable,
A69.9 ,"Spirochaetal infection, unspecified ",A_5,Other Communicable,
A70 ,Chlamydia psittaci infection ,A_5,Other Communicable,
A71 ,Trachoma ,A_5,Other Communicable,
A71.0 ,Initial stage of trachoma ,A_5,Other Communicable,
A71.1 ,Active stage of trachoma ,A_5,Other Communicable,
A71.9 ,"Trachoma, unspecified ",A_5,Other Communicable,
A74 ,Other diseases caused by chlamydiae ,A_5,Other Communicable,
A74.0+ ,Chlamydial conjunctivitis ( H13.1* ),A_5,Other Communicable,
A74.8 ,Other chlamydial diseases ,A_5,Other Communicable,
A74.9 ,"Chlamydial infection, unspecified ",A_5,Other Communicable,
A75 ,Typhus fever ,A_5,Other Communicable,
A75.0 ,Epidemic louse-borne typhus fever due to Rickettsia prowazekii ,A_5,Other Communicable,
A75.1 ,Recrudescent typhus [Brill's disease] ,A_5,Other Communicable,
A75.2 ,Typhus fever due to Rickettsia typhi ,A_5,Other Communicable,
A75.3 ,Typhus fever due to Rickettsia tsutsugamushi ,A_5,Other Communicable,
A75.9 ,"Typhus fever, unspecified ",A_5,Other Communicable,
A77 ,Spotted fever [tick-borne rickettsioses] ,A_5,Other Communicable,
A77.0 ,Spotted fever due to Rickettsia rickettsii ,A_5,Other Communicable,
A77.1 ,Spotted fever due to Rickettsia conorii ,A_5,Other Communicable,
A77.2 ,Spotted fever due to Rickettsia sibirica ,A_5,Other Communicable,
A77.3 ,Spotted fever due to Rickettsia australis ,A_5,Other Communicable,
A77.8 ,Other spotted fevers ,A_5,Other Communicable,
A77.9 ,"Spotted fever, unspecified ",A_5,Other Communicable,
A78 ,Q fever ,A_5,Other Communicable,
A79 ,Other rickettsioses ,A_5,Other Communicable,
A79.0 ,Trench fever ,A_5,Other Communicable,
A79.1 ,Rickettsialpox due to Rickettsia akari ,A_5,Other Communicable,
A79.8 ,Other specified rickettsioses ,A_5,Other Communicable,
A79.9 ,"Rickettsiosis, unspecified ",A_5,Other Communicable,
A80 ,Acute poliomyelitis ,A_5,Other Communicable,
A80.0 ,"Acute paralytic poliomyelitis, vaccine-associated ",A_5,Other Communicable,
A80.1 ,"Acute paralytic poliomyelitis, wild virus, imported ",A_5,Other Communicable,
A80.2 ,"Acute paralytic poliomyelitis, wild virus, indigenous ",A_5,Other Communicable,
A80.3 ,"Acute paralytic poliomyelitis, other and unspecified ",A_5,Other Communicable,
A80.4 ,Acute nonparalytic poliomyelitis ,A_5,Other Communicable,
A80.9 ,"Acute poliomyelitis, unspecified ",A_5,Other Communicable,
A81 ,Atypical virus infections of central nervous system ,A_5,Other Communicable,
A81.0 ,Creutzfeldt-Jakob disease ,A_5,Other Communicable,
A81.1 ,Subacute sclerosing panencephalitis ,A_5,Other Communicable,
A81.2 ,Progressive multifocal leukoencephalopathy ,A_5,Other Communicable,
A81.8 ,Other atypical virus infections of central nervous system ,A_5,Other Communicable,
A81.9 ,"Atypical virus infection of central nervous system, unspecified ",A_5,Other Communicable,
A82 ,Rabies ,A_5,Other Communicable,
A82.0 ,Sylvatic rabies ,A_5,Other Communicable,
