icd10,gbd_severity,description
L45.2,1,Papulosquamous disorders in diseases classified elsewhere
L45.3,1,Papulosquamous disorders in diseases classified elsewhere
L45.4,1,Papulosquamous disorders in diseases classified elsewhere
L45.5,1,Papulosquamous disorders in diseases classified elsewhere
L45.6,1,Papulosquamous disorders in diseases classified elsewhere
L45.7,1,Papulosquamous disorders in diseases classified elsewhere
L45.8,1,Papulosquamous disorders in diseases classified elsewhere
L45.9,1,Papulosquamous disorders in diseases classified elsewhere
L46,1,NA
L46.0,1,NA
L46.1,1,NA
L46.2,1,NA
L46.3,1,NA
L46.4,1,NA
L46.5,1,NA
L46.6,1,NA
L46.7,1,NA
L46.8,1,NA
L46.9,1,NA
L47,1,NA
L47.0,1,NA
L47.1,1,NA
L47.2,1,NA
L47.3,1,NA
L47.4,1,NA
L47.5,1,NA
L47.6,1,NA
L47.7,1,NA
L47.8,1,NA
L47.9,1,NA
L48,1,NA
L48.0,1,NA
L48.1,1,NA
L48.2,1,NA
L48.3,1,NA
L48.4,1,NA
L48.5,1,NA
L48.6,1,NA
L48.7,1,NA
L48.8,1,NA
L48.9,1,NA
L49,1,Exfoliation due to erythematous conditions according to extent of body surface involved
L49.0,1,Exfoliation due to erythematous condition involving less than 10 percent of body surface
L49.1,1,Exfoliation due to erythematous condition involving 10-19 percent of body surface
L49.2,1,Exfoliation due to erythematous condition involving 20-29 percent of body surface
L49.3,1,Exfoliation due to erythematous condition involving 30-39 percent of body surface
L49.4,1,Exfoliation due to erythematous condition involving 40-49 percent of body surface
L49.5,1,Exfoliation due to erythematous condition involving 50-59 percent of body surface
L49.6,1,Exfoliation due to erythematous condition involving 60-69 percent of body surface
L49.7,1,Exfoliation due to erythematous condition involving 70-79 percent of body surface
L49.8,1,Exfoliation due to erythematous condition involving 80-89 percent of body surface
L49.9,1,Exfoliation due to erythematous condition involving 90 or more percent of body surface
L50,1,Urticaria
L50.0,1,Allergic urticaria
L50.1,1,Idiopathic urticaria
L50.2,1,Urticaria due to cold and heat
L50.3,1,Dermatographic urticaria
L50.4,1,Vibratory urticaria
L50.5,1,Cholinergic urticaria
L50.6,1,Contact urticaria
L50.7,1,Urticaria
L50.8,1,Other urticaria
L50.9,1,"Urticaria, unspecified"
L52,1,Erythema nodosum
L52.0,1,Erythema nodosum
L52.1,1,Erythema nodosum
L52.2,1,Erythema nodosum
L52.3,1,Erythema nodosum
L52.4,1,Erythema nodosum
L52.5,1,Erythema nodosum
L52.6,1,Erythema nodosum
L52.7,1,Erythema nodosum
L52.8,1,Erythema nodosum
L52.9,1,Erythema nodosum
L53,1,Other erythematous conditions
L53.0,1,Toxic erythema
L53.1,1,Erythema annulare centrifugum
L53.2,1,Erythema marginatum
L53.3,1,Other chronic figurate erythema
L53.4,1,Other erythematous conditions
L53.5,1,Other erythematous conditions
L53.6,1,Other erythematous conditions
L53.7,1,Other erythematous conditions
L53.8,1,Other specified erythematous conditions
L53.9,1,"Erythematous condition, unspecified"
L54,1,Erythema in diseases classified elsewhere
L54.0,1,Erythema in diseases classified elsewhere
L54.1,1,Erythema in diseases classified elsewhere
L54.2,1,Erythema in diseases classified elsewhere
L54.3,1,Erythema in diseases classified elsewhere
L54.4,1,Erythema in diseases classified elsewhere
L54.5,1,Erythema in diseases classified elsewhere
L54.6,1,Erythema in diseases classified elsewhere
L54.7,1,Erythema in diseases classified elsewhere
L54.8,1,Erythema in diseases classified elsewhere
L56,1,Other acute skin changes due to ultraviolet radiation
L56.0,1,Drug phototoxic response
L56.1,1,Drug photoallergic response
L56.2,1,Photocontact dermatitis [berloque dermatitis]
L56.4,1,Polymorphous light eruption
L56.5,1,Disseminated superficial actinic porokeratosis (DSAP)
L57,1,Skin changes due to chronic exposure to nonionizing radiation
L57.0,1,Actinic keratosis
L57.1,1,Actinic reticuloid
L57.2,1,Cutis rhomboidalis nuchae
L57.3,1,Poikiloderma of Civatte
L57.4,1,Cutis laxa senilis
L57.5,1,Actinic granuloma
L57.6,1,Skin changes due to chronic exposure to nonionizing radiation
L57.7,1,Skin changes due to chronic exposure to nonionizing radiation
L57.8,1,Other skin changes due to chronic exposure to nonionizing radiation
L57.9,1,"Skin changes due to chronic exposure to nonionizing radiation, unspecified"
L59,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.0,1,Erythema ab igne [dermatitis ab igne]
L59.1,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.2,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.3,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.4,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.5,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.6,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.7,1,Other disorders of skin and subcutaneous tissue related to radiation
L59.8,1,Other specified disorders of the skin and subcutaneous tissue related to radiation
L59.9,1,"Disorder of the skin and subcutaneous tissue related to radiation, unspecified"
L60,1,Nail disorders
L60.0,1,Ingrowing nail
L60.1,1,Onycholysis
L60.2,1,Onychogryphosis
L60.3,1,Nail dystrophy
L60.4,1,Beau's lines
L60.5,1,Yellow nail syndrome
L60.6,1,Nail disorders
L60.7,1,Nail disorders
L60.8,1,Other nail disorders
L60.9,1,"Nail disorder, unspecified"
L61,1,NA
L61.0,1,NA
L61.1,1,NA
L61.2,1,NA
L61.3,1,NA
L61.4,1,NA
L61.5,1,NA
L61.6,1,NA
L61.7,1,NA
L61.8,1,NA
L61.9,1,NA
L62,1,Nail disorders in diseases classified elsewhere
L62.0,1,Nail disorders in diseases classified elsewhere
L62.1,1,Nail disorders in diseases classified elsewhere
L62.2,1,Nail disorders in diseases classified elsewhere
L62.3,1,Nail disorders in diseases classified elsewhere
L62.4,1,Nail disorders in diseases classified elsewhere
L62.5,1,Nail disorders in diseases classified elsewhere
L62.6,1,Nail disorders in diseases classified elsewhere
L62.7,1,Nail disorders in diseases classified elsewhere
L62.8,1,Nail disorders in diseases classified elsewhere
L62.9,1,Nail disorders in diseases classified elsewhere
L63,1,Alopecia areata
L63.0,1,Alopecia (capitis) totalis
L63.1,1,Alopecia universalis
L63.2,1,Ophiasis
L63.3,1,Alopecia areata
L63.4,1,Alopecia areata
L63.5,1,Alopecia areata
L63.6,1,Alopecia areata
L63.7,1,Alopecia areata
L63.8,1,Other alopecia areata
L63.9,1,"Alopecia areata, unspecified"
L64,1,Androgenic alopecia
L64.0,1,Drug-induced androgenic alopecia
L64.1,1,Androgenic alopecia
L64.2,1,Androgenic alopecia
L64.3,1,Androgenic alopecia
L64.4,1,Androgenic alopecia
L64.5,1,Androgenic alopecia
L64.6,1,Androgenic alopecia
L64.7,1,Androgenic alopecia
L64.8,1,Other androgenic alopecia
L64.9,1,"Androgenic alopecia, unspecified"
L65,1,Other nonscarring hair loss
L65.0,1,Telogen effluvium
L65.1,1,Anagen effluvium
L65.2,1,Alopecia mucinosa
L65.3,1,Other nonscarring hair loss
L65.4,1,Other nonscarring hair loss
L65.5,1,Other nonscarring hair loss
L65.6,1,Other nonscarring hair loss
L65.7,1,Other nonscarring hair loss
L65.8,1,Other specified nonscarring hair loss
L65.9,1,"Nonscarring hair loss, unspecified"
L66,1,Cicatricial alopecia [scarring hair loss]
L66.0,1,Pseudopelade
L66.1,1,Lichen planopilaris
L66.2,1,Folliculitis decalvans
L66.3,1,Perifolliculitis capitis abscedens
L66.4,1,Folliculitis ulerythematosa reticulata
L66.5,1,Cicatricial alopecia [scarring hair loss]
L66.6,1,Cicatricial alopecia [scarring hair loss]
L66.7,1,Cicatricial alopecia [scarring hair loss]
L66.8,1,Other cicatricial alopecia
L66.9,1,"Cicatricial alopecia, unspecified"
L67,1,Hair color and hair shaft abnormalities
L67.0,1,Trichorrhexis nodosa
L67.1,1,Variations in hair color
L67.2,1,Hair color and hair shaft abnormalities
L67.3,1,Hair color and hair shaft abnormalities
L67.4,1,Hair color and hair shaft abnormalities
L67.5,1,Hair color and hair shaft abnormalities
L67.6,1,Hair color and hair shaft abnormalities
L67.7,1,Hair color and hair shaft abnormalities
L67.8,1,Other hair color and hair shaft abnormalities
L67.9,1,"Hair color and hair shaft abnormality, unspecified"
L68,1,Hypertrichosis
L68.0,1,Hirsutism
L68.1,1,Acquired hypertrichosis lanuginosa
L68.2,1,Localized hypertrichosis
L68.3,1,Polytrichia
L68.4,1,Hypertrichosis
L68.5,1,Hypertrichosis
L68.6,1,Hypertrichosis
L68.7,1,Hypertrichosis
L68.8,1,Other hypertrichosis
L68.9,1,"Hypertrichosis, unspecified"
L69,3,NA
L70,1,Acne
L70.0,1,Acne vulgaris
L70.1,1,Acne conglobata
L70.2,1,Acne varioliformis
L70.3,1,Acne tropica
L70.4,1,Infantile acne
L70.5,1,Acne excoriee
L70.6,1,Acne
L70.7,1,Acne
L70.8,1,Other acne
L70.9,1,"Acne, unspecified"
L71,1,Rosacea
L71.0,1,Perioral dermatitis
L71.1,1,Rhinophyma
L71.2,1,Rosacea
L71.3,1,Rosacea
L71.4,1,Rosacea
L71.5,1,Rosacea
L71.6,1,Rosacea
L71.7,1,Rosacea
L71.8,1,Other rosacea
L71.9,1,"Rosacea, unspecified"
L72,1,Follicular cysts of skin and subcutaneous tissue
L72.0,1,Epidermal cyst
L72.1,1,Pilar and trichodermal cyst
L72.2,1,Steatocystoma multiplex
L72.3,1,Sebaceous cyst
L72.4,1,Follicular cysts of skin and subcutaneous tissue
L72.5,1,Follicular cysts of skin and subcutaneous tissue
L72.6,1,Follicular cysts of skin and subcutaneous tissue
L72.7,1,Follicular cysts of skin and subcutaneous tissue
L72.8,1,Other follicular cysts of the skin and subcutaneous tissue
L72.9,1,"Follicular cyst of the skin and subcutaneous tissue, unspecified"
L73,1,Other follicular disorders
L73.0,1,Acne keloid
L73.1,1,Pseudofolliculitis barbae
L73.2,1,Hidradenitis suppurativa
L73.3,1,Other follicular disorders
L73.4,1,Other follicular disorders
L73.5,1,Other follicular disorders
L73.6,1,Other follicular disorders
L73.7,1,Other follicular disorders
L73.8,1,Other specified follicular disorders
L73.9,1,"Follicular disorder, unspecified"
L74,1,Eccrine sweat disorders
L74.0,1,Miliaria rubra
L74.1,1,Miliaria crystallina
L74.2,1,Miliaria profunda
L74.3,1,"Miliaria, unspecified"
L74.4,1,Anhidrosis
L74.5,1,Focal hyperhidrosis
L74.6,1,Eccrine sweat disorders
L74.7,1,Eccrine sweat disorders
L74.8,1,Other eccrine sweat disorders
L74.9,1,"Eccrine sweat disorder, unspecified"
L75,1,Apocrine sweat disorders
L75.0,1,Bromhidrosis
L75.1,1,Chromhidrosis
L75.2,1,Apocrine miliaria
L75.3,1,Apocrine sweat disorders
L75.4,1,Apocrine sweat disorders
L75.5,1,Apocrine sweat disorders
L75.6,1,Apocrine sweat disorders
L75.7,1,Apocrine sweat disorders
L75.8,1,Other apocrine sweat disorders
L75.9,1,"Apocrine sweat disorder, unspecified"
L76,1,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.0,1,Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a procedure
L76.1,1,Accidental puncture and laceration of skin and subcutaneous tissue during a procedure
L76.2,1,Postprocedural hemorrhage of skin and subcutaneous tissue following a procedure
L76.3,1,Postprocedural hematoma and seroma of skin and subcutaneous tissue following a procedure
L76.4,1,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.5,1,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.6,1,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.7,1,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.8,1,Other intraoperative and postprocedural complications of skin and subcutaneous tissue
L77,3,NA
L77.0,3,NA
L77.1,3,NA
L77.2,3,NA
L77.3,3,NA
L77.4,3,NA
L77.5,3,NA
L77.6,3,NA
L77.7,3,NA
L77.8,3,NA
L77.9,3,NA
L78,3,NA
L78.0,3,NA
L78.1,3,NA
L78.2,3,NA
L78.3,3,NA
L78.4,3,NA
L78.5,3,NA
L78.6,3,NA
L78.7,3,NA
L78.8,3,NA
L78.9,3,NA
L79,3,NA
L79.0,3,NA
L79.1,3,NA
L79.2,3,NA
L79.3,3,NA
L79.4,3,NA
L79.5,3,NA
L79.6,3,NA
L79.7,3,NA
L79.8,3,NA
L79.9,3,NA
L80,1,Vitiligo
L80.0,1,Vitiligo
L80.1,1,Vitiligo
L80.2,1,Vitiligo
L80.3,1,Vitiligo
L80.4,1,Vitiligo
L80.5,1,Vitiligo
L80.6,1,Vitiligo
L80.7,1,Vitiligo
L80.8,1,Vitiligo
L80.9,1,Vitiligo
L81,1,Other disorders of pigmentation
L81.0,1,Postinflammatory hyperpigmentation
L81.1,1,Chloasma
L81.2,1,Freckles
L81.3,1,Cafe au lait spots
L81.4,1,Other melanin hyperpigmentation
L81.5,1,"Leukoderma, not elsewhere classified"
L81.6,1,Other disorders of diminished melanin formation
L81.7,1,Pigmented purpuric dermatosis
L81.8,1,Other specified disorders of pigmentation
L81.9,1,"Disorder of pigmentation, unspecified"
L82,1,Seborrheic keratosis
L82.0,1,Inflamed seborrheic keratosis
L82.1,1,Other seborrheic keratosis
L82.2,1,Seborrheic keratosis
L82.3,1,Seborrheic keratosis
L82.4,1,Seborrheic keratosis
L82.5,1,Seborrheic keratosis
L82.6,1,Seborrheic keratosis
L82.7,1,Seborrheic keratosis
L82.8,1,Seborrheic keratosis
L82.9,1,Seborrheic keratosis
L83,1,Acanthosis nigricans
L83.0,1,Acanthosis nigricans
L83.1,1,Acanthosis nigricans
L83.2,1,Acanthosis nigricans
L83.3,1,Acanthosis nigricans
L83.4,1,Acanthosis nigricans
L83.5,1,Acanthosis nigricans
L83.6,1,Acanthosis nigricans
L83.7,1,Acanthosis nigricans
L83.8,1,Acanthosis nigricans
L83.9,1,Acanthosis nigricans
L84,1,Corns and callosities
L84.0,1,Corns and callosities
L84.1,1,Corns and callosities
L84.2,1,Corns and callosities
L84.3,1,Corns and callosities
L84.4,1,Corns and callosities
L84.5,1,Corns and callosities
L84.6,1,Corns and callosities
L84.7,1,Corns and callosities
L84.8,1,Corns and callosities
L84.9,1,Corns and callosities
L85,1,Other epidermal thickening
L85.0,1,Acquired ichthyosis
L85.1,1,Acquired keratosis [keratoderma] palmaris et plantaris
L85.2,1,Keratosis punctata (palmaris et plantaris)
L85.3,1,Xerosis cutis
L85.4,1,Other epidermal thickening
L85.5,1,Other epidermal thickening
L85.6,1,Other epidermal thickening
L85.7,1,Other epidermal thickening
L85.8,1,Other specified epidermal thickening
L85.9,1,"Epidermal thickening, unspecified"
L86,1,Keratoderma in diseases classified elsewhere
L86.0,1,Keratoderma in diseases classified elsewhere
L86.1,1,Keratoderma in diseases classified elsewhere
L86.2,1,Keratoderma in diseases classified elsewhere
L86.3,1,Keratoderma in diseases classified elsewhere
L86.4,1,Keratoderma in diseases classified elsewhere
L86.5,1,Keratoderma in diseases classified elsewhere
L86.6,1,Keratoderma in diseases classified elsewhere
L86.7,1,Keratoderma in diseases classified elsewhere
L86.8,1,Keratoderma in diseases classified elsewhere
L86.9,1,Keratoderma in diseases classified elsewhere
L87,1,Transepidermal elimination disorders
L87.0,1,Keratosis follicularis et parafollicularis in cutem penetrans
L87.1,1,Reactive perforating collagenosis
L87.2,1,Elastosis perforans serpiginosa
L87.3,1,Transepidermal elimination disorders
L87.4,1,Transepidermal elimination disorders
L87.5,1,Transepidermal elimination disorders
L87.6,1,Transepidermal elimination disorders
L87.7,1,Transepidermal elimination disorders
L87.8,1,Other transepidermal elimination disorders
L87.9,1,"Transepidermal elimination disorder, unspecified"
L90,1,Atrophic disorders of skin
L90.0,1,Lichen sclerosus et atrophicus
L90.1,1,Anetoderma of Schweninger-Buzzi
L90.2,1,Anetoderma of Jadassohn-Pellizzari
L90.3,1,Atrophoderma of Pasini and Pierini
L90.4,1,Acrodermatitis chronica atrophicans
L90.5,1,Scar conditions and fibrosis of skin
L90.6,1,Striae atrophicae
L90.7,1,Atrophic disorders of skin
L90.8,1,Other atrophic disorders of skin
L90.9,1,"Atrophic disorder of skin, unspecified"
L91,1,Hypertrophic disorders of skin
L91.0,1,Hypertrophic scar
L91.1,1,Hypertrophic disorders of skin
L91.2,1,Hypertrophic disorders of skin
L91.3,1,Hypertrophic disorders of skin
L91.4,1,Hypertrophic disorders of skin
L91.5,1,Hypertrophic disorders of skin
L91.6,1,Hypertrophic disorders of skin
L91.7,1,Hypertrophic disorders of skin
L91.8,1,Other hypertrophic disorders of the skin
L91.9,1,"Hypertrophic disorder of the skin, unspecified"
L92,1,Granulomatous disorders of skin and subcutaneous tissue
L92.0,1,Granuloma annulare
L92.1,1,"Necrobiosis lipoidica, not elsewhere classified"
L92.2,1,Granuloma faciale [eosinophilic granuloma of skin]
L92.3,1,Foreign body granuloma of the skin and subcutaneous tissue
L92.4,1,Granulomatous disorders of skin and subcutaneous tissue
L92.5,1,Granulomatous disorders of skin and subcutaneous tissue
L92.6,1,Granulomatous disorders of skin and subcutaneous tissue
L92.7,1,Granulomatous disorders of skin and subcutaneous tissue
L92.8,1,Other granulomatous disorders of the skin and subcutaneous tissue
L92.9,1,"Granulomatous disorder of the skin and subcutaneous tissue, unspecified"
L94,1,Other localized connective tissue disorders
L94.0,1,Localized scleroderma [morphea]
L94.1,1,Linear scleroderma
L94.2,1,Calcinosis cutis
L94.3,1,Sclerodactyly
L94.4,1,Gottron's papules
L94.5,1,Poikiloderma vasculare atrophicans
L94.6,1,Ainhum
L94.7,1,Other localized connective tissue disorders
L94.8,1,Other specified localized connective tissue disorders
L94.9,1,"Localized connective tissue disorder, unspecified"
L95,1,"Vasculitis limited to skin, not elsewhere classified"
L95.0,1,Livedoid vasculitis
L95.1,1,Erythema elevatum diutinum
L95.2,1,"Vasculitis limited to skin, not elsewhere classified"
L95.3,1,"Vasculitis limited to skin, not elsewhere classified"
L95.4,1,"Vasculitis limited to skin, not elsewhere classified"
L95.5,1,"Vasculitis limited to skin, not elsewhere classified"
L95.6,1,"Vasculitis limited to skin, not elsewhere classified"
L95.7,1,"Vasculitis limited to skin, not elsewhere classified"
L95.8,1,Other vasculitis limited to the skin
L95.9,1,"Vasculitis limited to the skin, unspecified"
L96,1,NA
L96.0,1,NA
L96.1,1,NA
L96.2,1,NA
L96.3,1,NA
L96.4,1,NA
L96.5,1,NA
L96.6,1,NA
L96.7,1,NA
L96.8,1,NA
L96.9,1,NA
L98,1,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
L98.5,1,Mucinosis of the skin
L98.6,1,Other infiltrative disorders of the skin and subcutaneous tissue
L98.7,1,Excessive and redundant skin and subcutaneous tissue
L98.8,1,Other specified disorders of the skin and subcutaneous tissue
L98.9,1,"Disorder of the skin and subcutaneous tissue, unspecified"
L99,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.0,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.1,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.2,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.3,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.4,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.5,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.6,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.7,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
L99.8,1,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M04,1,Autoinflammatory syndromes
M10,1,Gout
M10.0,1,Idiopathic gout
M10.1,1,Lead-induced gout
M10.2,1,Drug-induced gout
M10.3,1,Gout due to renal impairment
M10.4,1,Other secondary gout
M10.5,1,Gout
M10.6,1,Gout
M10.7,1,Gout
M10.8,1,Gout
M10.9,1,"Gout, unspecified"
M11,1,Other crystal arthropathies
M11.0,1,Hydroxyapatite deposition disease
M11.1,1,Familial chondrocalcinosis
M11.2,1,Other chondrocalcinosis
M11.3,1,Other crystal arthropathies
M11.4,1,Other crystal arthropathies
M11.5,1,Other crystal arthropathies
M11.6,1,Other crystal arthropathies
M11.7,1,Other crystal arthropathies
M11.8,1,Other specified crystal arthropathies
M11.9,1,"Crystal arthropathy, unspecified"
M12,1,Other and unspecified arthropathy
M12.0,1,Chronic postrheumatic arthropathy [Jaccoud]
M12.2,1,Villonodular synovitis (pigmented)
M12.3,1,Palindromic rheumatism
M12.4,1,Intermittent hydrarthrosis
M12.5,1,Traumatic arthropathy
M12.6,1,Other and unspecified arthropathy
M12.7,1,Other and unspecified arthropathy
M12.8,1,"Other specific arthropathies, not elsewhere classified"
M12.9,1,"Arthropathy, unspecified"
M13,1,Other arthritis
M13.0,1,"Polyarthritis, unspecified"
M13.1,1,"Monoarthritis, not elsewhere classified"
M13.2,1,Other arthritis
M13.3,1,Other arthritis
M13.4,1,Other arthritis
M13.5,1,Other arthritis
M13.6,1,Other arthritis
M13.7,1,Other arthritis
M13.8,1,Other specified arthritis
M13.9,1,Other arthritis
M14,1,Arthropathies in other diseases classified elsewhere
M14.0,1,Arthropathies in other diseases classified elsewhere
M14.1,1,Arthropathies in other diseases classified elsewhere
M14.2,1,Arthropathies in other diseases classified elsewhere
M14.3,1,Arthropathies in other diseases classified elsewhere
M14.4,1,Arthropathies in other diseases classified elsewhere
M14.5,1,Arthropathies in other diseases classified elsewhere
M14.6,1,Charcot's joint
M14.7,1,Arthropathies in other diseases classified elsewhere
M14.8,1,Arthropathies in other specified diseases classified elsewhere
M14.9,1,Arthropathies in other diseases classified elsewhere
M15,1,Polyosteoarthritis
M15.0,1,Primary generalized (osteo)arthritis
M15.1,1,Heberden's nodes (with arthropathy)
M15.2,1,Bouchard's nodes (with arthropathy)
M15.3,1,Secondary multiple arthritis
M15.4,1,Erosive (osteo)arthritis
M15.5,1,Polyosteoarthritis
M15.6,1,Polyosteoarthritis
M15.7,1,Polyosteoarthritis
M15.8,1,Other polyosteoarthritis
M15.9,1,"Polyosteoarthritis, unspecified"
M16,1,Osteoarthritis of hip
M16.0,1,Bilateral primary osteoarthritis of hip
M16.1,1,Unilateral primary osteoarthritis of hip
M16.2,1,Bilateral osteoarthritis resulting from hip dysplasia
M16.3,1,Unilateral osteoarthritis resulting from hip dysplasia
M16.4,1,Bilateral post-traumatic osteoarthritis of hip
M16.5,1,Unilateral post-traumatic osteoarthritis of hip
M16.6,1,Other bilateral secondary osteoarthritis of hip
M16.7,1,Other unilateral secondary osteoarthritis of hip
M16.8,1,Osteoarthritis of hip
M16.9,1,"Osteoarthritis of hip, unspecified"
M17,1,Osteoarthritis of knee
M17.0,1,Bilateral primary osteoarthritis of knee
M17.1,1,Unilateral primary osteoarthritis of knee
M17.2,1,Bilateral post-traumatic osteoarthritis of knee
M17.3,1,Unilateral post-traumatic osteoarthritis of knee
M17.4,1,Other bilateral secondary osteoarthritis of knee
M17.5,1,Other unilateral secondary osteoarthritis of knee
M17.6,1,Osteoarthritis of knee
M17.7,1,Osteoarthritis of knee
M17.8,1,Osteoarthritis of knee
M17.9,1,"Osteoarthritis of knee, unspecified"
M18,1,Osteoarthritis of first carpometacarpal joint
M18.0,1,Bilateral primary osteoarthritis of first carpometacarpal joints
M18.1,1,Unilateral primary osteoarthritis of first carpometacarpal joint
M18.2,1,Bilateral post-traumatic osteoarthritis of first carpometacarpal joints
M18.3,1,Unilateral post-traumatic osteoarthritis of first carpometacarpal joint
M18.4,1,Other bilateral secondary osteoarthritis of first carpometacarpal joints
M18.5,1,Other unilateral secondary osteoarthritis of first carpometacarpal joint
M18.6,1,Osteoarthritis of first carpometacarpal joint
M18.7,1,Osteoarthritis of first carpometacarpal joint
M18.8,1,Osteoarthritis of first carpometacarpal joint
M18.9,1,"Osteoarthritis of first carpometacarpal joint, unspecified"
M19,1,Other and unspecified osteoarthritis
M19.0,1,Primary osteoarthritis of other joints
M19.1,1,Post-traumatic osteoarthritis of other joints
M19.2,1,Secondary osteoarthritis of other joints
M19.3,1,Other and unspecified osteoarthritis
M19.4,1,Other and unspecified osteoarthritis
M19.5,1,Other and unspecified osteoarthritis
M19.6,1,Other and unspecified osteoarthritis
M19.7,1,Other and unspecified osteoarthritis
M19.8,1,Other and unspecified osteoarthritis
M19.9,1,"Osteoarthritis, unspecified site"
M20,1,Acquired deformities of fingers and toes
M20.0,1,Deformity of finger(s)
M20.1,1,Hallux valgus (acquired)
M20.2,1,Hallux rigidus
M20.3,1,Hallux varus (acquired)
M20.4,1,Other hammer toe(s) (acquired)
M20.5,1,Other deformities of toe(s) (acquired)
M20.6,1,"Acquired deformities of toe(s), unspecified"
M20.7,1,Acquired deformities of fingers and toes
M20.8,1,Acquired deformities of fingers and toes
M20.9,1,Acquired deformities of fingers and toes
M21,1,Other acquired deformities of limbs
M21.0,1,"Valgus deformity, not elsewhere classified"
M21.1,1,"Varus deformity, not elsewhere classified"
M21.2,1,Flexion deformity
M21.3,1,Wrist or foot drop (acquired)
M21.4,1,Flat foot [pes planus] (acquired)
M21.5,1,"Acquired clawhand, clubhand, clawfoot and clubfoot"
M21.6,1,Other acquired deformities of foot
M21.7,1,Unequal limb length (acquired)
M21.8,1,Other specified acquired deformities of limbs
M21.9,1,Unspecified acquired deformity of limb and hand
M22,1,Disorder of patella
M22.0,1,Recurrent dislocation of patella
M22.1,1,Recurrent subluxation of patella
M22.2,1,Patellofemoral disorders
M22.3,1,Other derangements of patella
M22.4,1,Chondromalacia patellae
M22.5,1,Disorder of patella
M22.6,1,Disorder of patella
M22.7,1,Disorder of patella
M22.8,1,Other disorders of patella
M22.9,1,Unspecified disorder of patella
M23,1,Internal derangement of knee
M23.0,1,Cystic meniscus
M23.1,1,Internal derangement of knee
M23.2,1,Derangement of meniscus due to old tear or injury
M23.3,1,Other meniscus derangements
M23.4,1,Loose body in knee
M23.5,1,Chronic instability of knee
M23.6,1,Other spontaneous disruption of ligament(s) of knee
M23.7,1,Internal derangement of knee
M23.8,1,Other internal derangements of knee
M23.9,1,Unspecified internal derangement of knee
M24,1,Other specific joint derangements
M24.0,1,Loose body in joint
M24.1,1,Other articular cartilage disorders
M24.2,1,Disorder of ligament
M24.3,1,"Pathological dislocation of joint, not elsewhere classified"
M24.4,1,Recurrent dislocation of joint
M24.5,1,Contracture of joint
M24.6,1,Ankylosis of joint
M24.7,1,Protrusio acetabuli
M24.8,1,"Other specific joint derangements, not elsewhere classified"
M24.9,1,"Joint derangement, unspecified"
M25,1,"Other joint disorder, not elsewhere classified"
M25.0,1,Hemarthrosis
M25.1,1,Fistula of joint
M25.2,1,Flail joint
M25.3,1,Other instability of joint
M25.4,1,Effusion of joint
M25.5,1,Pain in joint
M25.6,1,"Stiffness of joint, not elsewhere classified"
M25.7,1,Osteophyte
M25.8,1,Other specified joint disorders
M25.9,1,"Joint disorder, unspecified"
M26,1,Dentofacial anomalies [including malocclusion]
M26.0,1,Major anomalies of jaw size
M26.1,1,Anomalies of jaw-cranial base relationship
M26.2,1,Anomalies of dental arch relationship
M26.3,1,Anomalies of tooth position of fully erupted tooth or teeth
M26.4,1,"Malocclusion, unspecified"
M26.5,1,Dentofacial functional abnormalities
M26.6,1,Temporomandibular joint disorders
M26.7,1,Dental alveolar anomalies
M26.8,1,Other dentofacial anomalies
M26.9,1,"Dentofacial anomaly, unspecified"
M27,1,Other diseases of jaws
M27.0,1,Developmental disorders of jaws
M27.1,1,"Giant cell granuloma, central"
M27.2,1,Inflammatory conditions of jaws
M27.3,1,Alveolitis of jaws
M27.4,1,Other and unspecified cysts of jaw
M27.5,1,Periradicular pathology associated with previous endodontic treatment
M27.6,1,Endosseous dental implant failure
M27.7,1,Other diseases of jaws
M27.8,1,Other specified diseases of jaws
M27.9,1,"Disease of jaws, unspecified"
M28,1,NA
M28.0,1,NA
M28.1,1,NA
