code,description
B343,"parvovirus infection, unspecified"
B344,"papovavirus infection, unspecified"
B348,other viral infections of unspecified site
B349,"viral infection, unspecified"
B359,"dermatophytosis, unspecified"
B369,"superficial mycosis, unspecified"
B379,"candidiasis, unspecified"
B382,"pulmonary coccidioidomycosis, unspecified"
B389,"coccidioidomycosis, unspecified"
B392,"pulmonary histoplasmosis capsulati, unspecified"
B394,"histoplasmosis capsulati, unspecified"
B399,"histoplasmosis, unspecified"
B402,"pulmonary blastomycosis, unspecified"
B409,"blastomycosis, unspecified"
B419,"paracoccidioidomycosis, unspecified"
B429,"sporotrichosis, unspecified"
B439,"chromomycosis, unspecified"
B449,"aspergillosis, unspecified"
B459,"cryptococcosis, unspecified"
B465,"mucormycosis, unspecified"
B469,"zygomycosis, unspecified"
B479,"mycetoma, unspecified"
B481,rhinosporidiosis
B49,unspecified mycosis
B509,"plasmodium falciparum malaria, unspecified"
B54,unspecified malaria
B559,"leishmaniasis, unspecified"
B560,gambiense trypanosomiasis
B561,rhodesiense trypanosomiasis
B569,"african trypanosomiasis, unspecified"
B5800,"toxoplasma oculopathy, unspecified"
B589,"toxoplasmosis, unspecified"
B6000,"babesiosis, unspecified"
B6010,"acanthamebiasis, unspecified"
B64,unspecified protozoal disease
B659,"schistosomiasis, unspecified"
B669,"fluke infection, unspecified"
B674,"echinococcus granulosus infection, unspecified"
B677,"echinococcus multilocularis infection, unspecified"
B678,"echinococcosis, unspecified, of liver"
B6790,"echinococcosis, unspecified"
B689,"taeniasis, unspecified"
B699,"cysticercosis, unspecified"
B701,sparganosis
B719,"cestode infection, unspecified"
B749,"filariasis, unspecified"
B761,necatoriasis
B769,"hookworm disease, unspecified"
B779,"ascariasis, unspecified"
B789,"strongyloidiasis, unspecified"
B820,"intestinal helminthiasis, unspecified"
B829,"intestinal parasitism, unspecified"
B839,"helminthiasis, unspecified"
B852,"pediculosis, unspecified"
B879,"myiasis, unspecified"
B889,"infestation, unspecified"
B89,unspecified parasitic disease
B909,sequelae of respiratory and unspecified tuberculosis
B949,sequelae of unspecified infectious and parasitic disease
B955,unspecified streptococcus as the cause of diseases classified elsewhere
B958,unspecified staphylococcus as the cause of diseases classified elsewhere
B9620,unspecified escherichia coli [e. coli] as the cause of diseases classified elsewhere
B9623,unspecified shiga toxin-producing escherichia coli [e. coli] [stec] as the cause of diseases classified elsewhere
B965,pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B9710,unspecified enterovirus as the cause of diseases classified elsewhere
B9730,unspecified retrovirus as the cause of diseases classified elsewhere
B999,unspecified infectious disease
C002,"malignant neoplasm of external lip, unspecified"
C005,"malignant neoplasm of lip, unspecified, inner aspect"
C006,"malignant neoplasm of commissure of lip, unspecified"
C009,"malignant neoplasm of lip, unspecified"
C023,"malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C029,"malignant neoplasm of tongue, unspecified"
C039,"malignant neoplasm of gum, unspecified"
C049,"malignant neoplasm of floor of mouth, unspecified"
C059,"malignant neoplasm of palate, unspecified"
C0680,malignant neoplasm of overlapping sites of unspecified parts of mouth
C069,"malignant neoplasm of mouth, unspecified"
C089,"malignant neoplasm of major salivary gland, unspecified"
C099,"malignant neoplasm of tonsil, unspecified"
C109,"malignant neoplasm of oropharynx, unspecified"
C119,"malignant neoplasm of nasopharynx, unspecified"
C139,"malignant neoplasm of hypopharynx, unspecified"
C140,"malignant neoplasm of pharynx, unspecified"
C159,"malignant neoplasm of esophagus, unspecified"
C165,"malignant neoplasm of lesser curvature of stomach, unspecified"
C166,"malignant neoplasm of greater curvature of stomach, unspecified"
C169,"malignant neoplasm of stomach, unspecified"
C179,"malignant neoplasm of small intestine, unspecified"
C189,"malignant neoplasm of colon, unspecified"
C210,"malignant neoplasm of anus, unspecified"
C228,"malignant neoplasm of liver, primary, unspecified as to type"
C249,"malignant neoplasm of biliary tract, unspecified"
C259,"malignant neoplasm of pancreas, unspecified"
C260,"malignant neoplasm of intestinal tract, part unspecified"
C319,"malignant neoplasm of accessory sinus, unspecified"
C329,"malignant neoplasm of larynx, unspecified"
C3400,malignant neoplasm of unspecified main bronchus
C3410,"malignant neoplasm of upper lobe, unspecified bronchus or lung"
C3430,"malignant neoplasm of lower lobe, unspecified bronchus or lung"
C3480,malignant neoplasm of overlapping sites of unspecified bronchus and lung
C3490,malignant neoplasm of unspecified part of unspecified bronchus or lung
C3491,malignant neoplasm of unspecified part of right bronchus or lung
C3492,malignant neoplasm of unspecified part of left bronchus or lung
C383,"malignant neoplasm of mediastinum, part unspecified"
C390,"malignant neoplasm of upper respiratory tract, part unspecified"
C399,"malignant neoplasm of lower respiratory tract, part unspecified"
C4000,malignant neoplasm of scapula and long bones of unspecified upper limb
C4010,malignant neoplasm of short bones of unspecified upper limb
C4020,malignant neoplasm of long bones of unspecified lower limb
C4030,malignant neoplasm of short bones of unspecified lower limb
C4080,malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
C4090,malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
C4091,malignant neoplasm of unspecified bones and articular cartilage of right limb
C4092,malignant neoplasm of unspecified bones and articular cartilage of left limb
C419,"malignant neoplasm of bone and articular cartilage, unspecified"
C4310,"malignant melanoma of unspecified eyelid, including canthus"
C4320,malignant melanoma of unspecified ear and external auricular canal
C4330,malignant melanoma of unspecified part of face
C4331,malignant melanoma of nose
C434,malignant melanoma of scalp and neck
C4360,"malignant melanoma of unspecified upper limb, including shoulder"
C4370,"malignant melanoma of unspecified lower limb, including hip"
C439,"malignant melanoma of skin, unspecified"
C4A10,"merkel cell carcinoma of unspecified eyelid, including canthus"
C4A20,merkel cell carcinoma of unspecified ear and external auricular canal
C4A30,merkel cell carcinoma of unspecified part of face
C4A31,merkel cell carcinoma of nose
C4A4,merkel cell carcinoma of scalp and neck
C4A60,"merkel cell carcinoma of unspecified upper limb, including shoulder"
C4A70,"merkel cell carcinoma of unspecified lower limb, including hip"
C4A9,"merkel cell carcinoma, unspecified"
C4400,unspecified malignant neoplasm of skin of lip
C44101,"unspecified malignant neoplasm of skin of unspecified eyelid, including canthus"
C441021,"unspecified malignant neoplasm of skin of right upper eyelid, including canthus"
C441022,"unspecified malignant neoplasm of skin of right lower eyelid, including canthus"
C441091,"unspecified malignant neoplasm of skin of left upper eyelid, including canthus"
C441092,"unspecified malignant neoplasm of skin of left lower eyelid, including canthus"
C44111,"basal cell carcinoma of skin of unspecified eyelid, including canthus"
C44121,"squamous cell carcinoma of skin of unspecified eyelid, including canthus"
C44131,"sebaceous cell carcinoma of skin of unspecified eyelid, including canthus"
C44191,"other specified malignant neoplasm of skin of unspecified eyelid, including canthus"
C44201,unspecified malignant neoplasm of skin of unspecified ear and external auricular canal
C44202,unspecified malignant neoplasm of skin of right ear and external auricular canal
C44209,unspecified malignant neoplasm of skin of left ear and external auricular canal
C44211,basal cell carcinoma of skin of unspecified ear and external auricular canal
C44221,squamous cell carcinoma of skin of unspecified ear and external auricular canal
C44291,other specified malignant neoplasm of skin of unspecified ear and external auricular canal
C44300,unspecified malignant neoplasm of skin of unspecified part of face
C44301,unspecified malignant neoplasm of skin of nose
C44309,unspecified malignant neoplasm of skin of other parts of face
C44310,basal cell carcinoma of skin of unspecified parts of face
C44311,basal cell carcinoma of skin of nose
C44320,squamous cell carcinoma of skin of unspecified parts of face
C44321,squamous cell carcinoma of skin of nose
C44390,other specified malignant neoplasm of skin of unspecified parts of face
C44391,other specified malignant neoplasm of skin of nose
C4440,unspecified malignant neoplasm of skin of scalp and neck
C4441,basal cell carcinoma of skin of scalp and neck
C4442,squamous cell carcinoma of skin of scalp and neck
C4449,other specified malignant neoplasm of skin of scalp and neck
C44500,unspecified malignant neoplasm of anal skin
C44501,unspecified malignant neoplasm of skin of breast
C44509,unspecified malignant neoplasm of skin of other part of trunk
C44601,"unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder"
C44602,"unspecified malignant neoplasm of skin of right upper limb, including shoulder"
C44609,"unspecified malignant neoplasm of skin of left upper limb, including shoulder"
C44611,"basal cell carcinoma of skin of unspecified upper limb, including shoulder"
C44621,"squamous cell carcinoma of skin of unspecified upper limb, including shoulder"
C44691,"other specified malignant neoplasm of skin of unspecified upper limb, including shoulder"
C44701,"unspecified malignant neoplasm of skin of unspecified lower limb, including hip"
C44702,"unspecified malignant neoplasm of skin of right lower limb, including hip"
C44709,"unspecified malignant neoplasm of skin of left lower limb, including hip"
C44711,"basal cell carcinoma of skin of unspecified lower limb, including hip"
C44721,"squamous cell carcinoma of skin of unspecified lower limb, including hip"
C44791,"other specified malignant neoplasm of skin of unspecified lower limb, including hip"
C4480,unspecified malignant neoplasm of overlapping sites of skin
C4490,"unspecified malignant neoplasm of skin, unspecified"
C4491,"basal cell carcinoma of skin, unspecified"
C4492,"squamous cell carcinoma of skin, unspecified"
C4499,"other specified malignant neoplasm of skin, unspecified"
C459,"mesothelioma, unspecified"
C4650,kaposi's sarcoma of unspecified lung
C469,"kaposi's sarcoma, unspecified"
C470,"malignant neoplasm of peripheral nerves of head, face and neck"
C4710,"malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder"
C4720,"malignant neoplasm of peripheral nerves of unspecified lower limb, including hip"
C476,"malignant neoplasm of peripheral nerves of trunk, unspecified"
C479,"malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
C482,"malignant neoplasm of peritoneum, unspecified"
C490,"malignant neoplasm of connective and soft tissue of head, face and neck"
C4910,"malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder"
C4911,"malignant neoplasm of connective and soft tissue of right upper limb, including shoulder"
C4912,"malignant neoplasm of connective and soft tissue of left upper limb, including shoulder"
C4920,"malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
C4921,"malignant neoplasm of connective and soft tissue of right lower limb, including hip"
C4922,"malignant neoplasm of connective and soft tissue of left lower limb, including hip"
C493,malignant neoplasm of connective and soft tissue of thorax
C494,malignant neoplasm of connective and soft tissue of abdomen
C495,malignant neoplasm of connective and soft tissue of pelvis
C496,"malignant neoplasm of connective and soft tissue of trunk, unspecified"
C498,malignant neoplasm of overlapping sites of connective and soft tissue
C499,"malignant neoplasm of connective and soft tissue, unspecified"
C49A0,"gastrointestinal stromal tumor, unspecified site"
C50019,"malignant neoplasm of nipple and areola, unspecified female breast"
C50029,"malignant neoplasm of nipple and areola, unspecified male breast"
C50119,malignant neoplasm of central portion of unspecified female breast
C50129,malignant neoplasm of central portion of unspecified male breast
C50219,malignant neoplasm of upper-inner quadrant of unspecified female breast
C50229,malignant neoplasm of upper-inner quadrant of unspecified male breast
C50319,malignant neoplasm of lower-inner quadrant of unspecified female breast
C50329,malignant neoplasm of lower-inner quadrant of unspecified male breast
C50419,malignant neoplasm of upper-outer quadrant of unspecified female breast
C50429,malignant neoplasm of upper-outer quadrant of unspecified male breast
C50519,malignant neoplasm of lower-outer quadrant of unspecified female breast
C50529,malignant neoplasm of lower-outer quadrant of unspecified male breast
C50619,malignant neoplasm of axillary tail of unspecified female breast
C50629,malignant neoplasm of axillary tail of unspecified male breast
C50819,malignant neoplasm of overlapping sites of unspecified female breast
C50829,malignant neoplasm of overlapping sites of unspecified male breast
C50911,malignant neoplasm of unspecified site of right female breast
C50912,malignant neoplasm of unspecified site of left female breast
C50919,malignant neoplasm of unspecified site of unspecified female breast
C50921,malignant neoplasm of unspecified site of right male breast
C50922,malignant neoplasm of unspecified site of left male breast
C50929,malignant neoplasm of unspecified site of unspecified male breast
C519,"malignant neoplasm of vulva, unspecified"
C539,"malignant neoplasm of cervix uteri, unspecified"
C549,"malignant neoplasm of corpus uteri, unspecified"
C55,"malignant neoplasm of uterus, part unspecified"
C569,malignant neoplasm of unspecified ovary
C5700,malignant neoplasm of unspecified fallopian tube
C5710,malignant neoplasm of unspecified broad ligament
C5720,malignant neoplasm of unspecified round ligament
C574,"malignant neoplasm of uterine adnexa, unspecified"
C579,"malignant neoplasm of female genital organ, unspecified"
C609,"malignant neoplasm of penis, unspecified"
C6200,malignant neoplasm of unspecified undescended testis
C6210,malignant neoplasm of unspecified descended testis
C6290,"malignant neoplasm of unspecified testis, unspecified whether descended or undescended"
C6291,"malignant neoplasm of right testis, unspecified whether descended or undescended"
C6292,"malignant neoplasm of left testis, unspecified whether descended or undescended"
C6300,malignant neoplasm of unspecified epididymis
C6310,malignant neoplasm of unspecified spermatic cord
C639,"malignant neoplasm of male genital organ, unspecified"
C649,"malignant neoplasm of unspecified kidney, except renal pelvis"
C659,malignant neoplasm of unspecified renal pelvis
C669,malignant neoplasm of unspecified ureter
C675,malignant neoplasm of bladder neck
C679,"malignant neoplasm of bladder, unspecified"
C689,"malignant neoplasm of urinary organ, unspecified"
C6900,malignant neoplasm of unspecified conjunctiva
C6910,malignant neoplasm of unspecified cornea
C6920,malignant neoplasm of unspecified retina
C6930,malignant neoplasm of unspecified choroid
C6940,malignant neoplasm of unspecified ciliary body
C6950,malignant neoplasm of unspecified lacrimal gland and duct
C6960,malignant neoplasm of unspecified orbit
C6980,malignant neoplasm of overlapping sites of unspecified eye and adnexa
C6990,malignant neoplasm of unspecified site of unspecified eye
C6991,malignant neoplasm of unspecified site of right eye
C6992,malignant neoplasm of unspecified site of left eye
C709,"malignant neoplasm of meninges, unspecified"
C719,"malignant neoplasm of brain, unspecified"
C7220,malignant neoplasm of unspecified olfactory nerve
C7230,malignant neoplasm of unspecified optic nerve
C7240,malignant neoplasm of unspecified acoustic nerve
C7250,malignant neoplasm of unspecified cranial nerve
C729,"malignant neoplasm of central nervous system, unspecified"
C7400,malignant neoplasm of cortex of unspecified adrenal gland
C7410,malignant neoplasm of medulla of unspecified adrenal gland
C7490,malignant neoplasm of unspecified part of unspecified adrenal gland
C7491,malignant neoplasm of unspecified part of right adrenal gland
C7492,malignant neoplasm of unspecified part of left adrenal gland
C759,"malignant neoplasm of endocrine gland, unspecified"
C7A00,malignant carcinoid tumor of unspecified site
C7A019,"malignant carcinoid tumor of the small intestine, unspecified portion"
C7A029,"malignant carcinoid tumor of the large intestine, unspecified portion"
C7A094,"malignant carcinoid tumor of the foregut, unspecified"
C7A095,"malignant carcinoid tumor of the midgut, unspecified"
C7A096,"malignant carcinoid tumor of the hindgut, unspecified"
C7B00,"secondary carcinoid tumors, unspecified site"
C760,"malignant neoplasm of head, face and neck"
C7640,malignant neoplasm of unspecified upper limb
C7650,malignant neoplasm of unspecified lower limb
C768,malignant neoplasm of other specified ill-defined sites
C770,"secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"
C771,secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
C772,secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C773,secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
C774,secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
C775,secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
C778,secondary and unspecified malignant neoplasm of lymph nodes of multiple regions
C779,"secondary and unspecified malignant neoplasm of lymph node, unspecified"
C7800,secondary malignant neoplasm of unspecified lung
C7830,secondary malignant neoplasm of unspecified respiratory organ
C7880,secondary malignant neoplasm of unspecified digestive organ
C7900,secondary malignant neoplasm of unspecified kidney and renal pelvis
C7910,secondary malignant neoplasm of unspecified urinary organs
C7940,secondary malignant neoplasm of unspecified part of nervous system
C7960,secondary malignant neoplasm of unspecified ovary
C7970,secondary malignant neoplasm of unspecified adrenal gland
C799,secondary malignant neoplasm of unspecified site
C800,"disseminated malignant neoplasm, unspecified"
C801,"malignant (primary) neoplasm, unspecified"
C8100,"nodular lymphocyte predominant hodgkin lymphoma, unspecified site"
C8101,"nodular lymphocyte predominant hodgkin lymphoma, lymph nodes of head, face, and neck"
C8110,"nodular sclerosis hodgkin lymphoma, unspecified site"
C8111,"nodular sclerosis hodgkin lymphoma, lymph nodes of head, face, and neck"
C8120,"mixed cellularity hodgkin lymphoma, unspecified site"
C8121,"mixed cellularity hodgkin lymphoma, lymph nodes of head, face, and neck"
C8130,"lymphocyte depleted hodgkin lymphoma, unspecified site"
C8131,"lymphocyte depleted hodgkin lymphoma, lymph nodes of head, face, and neck"
C8140,"lymphocyte-rich hodgkin lymphoma, unspecified site"
C8141,"lymphocyte-rich hodgkin lymphoma, lymph nodes of head, face, and neck"
C8170,"other hodgkin lymphoma, unspecified site"
C8171,"other hodgkin lymphoma, lymph nodes of head, face, and neck"
C8190,"hodgkin lymphoma, unspecified, unspecified site"
C8191,"hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck"
C8192,"hodgkin lymphoma, unspecified, intrathoracic lymph nodes"
C8193,"hodgkin lymphoma, unspecified, intra-abdominal lymph nodes"
C8194,"hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb"
C8195,"hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C8196,"hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
C8197,"hodgkin lymphoma, unspecified, spleen"
C8198,"hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
C8199,"hodgkin lymphoma, unspecified, extranodal and solid organ sites"
C819A,"hodgkin lymphoma, unspecified, in remission"
C8200,"follicular lymphoma grade i, unspecified site"
C8201,"follicular lymphoma grade i, lymph nodes of head, face, and neck"
C8210,"follicular lymphoma grade ii, unspecified site"
C8211,"follicular lymphoma grade ii, lymph nodes of head, face, and neck"
C8220,"follicular lymphoma grade iii, unspecified, unspecified site"
C8221,"follicular lymphoma grade iii, unspecified, lymph nodes of head, face, and neck"
C8222,"follicular lymphoma grade iii, unspecified, intrathoracic lymph nodes"
C8223,"follicular lymphoma grade iii, unspecified, intra-abdominal lymph nodes"
C8224,"follicular lymphoma grade iii, unspecified, lymph nodes of axilla and upper limb"
C8225,"follicular lymphoma grade iii, unspecified, lymph nodes of inguinal region and lower limb"
C8226,"follicular lymphoma grade iii, unspecified, intrapelvic lymph nodes"
C8227,"follicular lymphoma grade iii, unspecified, spleen"
C8228,"follicular lymphoma grade iii, unspecified, lymph nodes of multiple sites"
C8229,"follicular lymphoma grade iii, unspecified, extranodal and solid organ sites"
C822A,"follicular lymphoma grade iii, unspecified, in remission"
C8230,"follicular lymphoma grade iiia, unspecified site"
C8231,"follicular lymphoma grade iiia, lymph nodes of head, face, and neck"
C8240,"follicular lymphoma grade iiib, unspecified site"
C8241,"follicular lymphoma grade iiib, lymph nodes of head, face, and neck"
C8250,"diffuse follicle center lymphoma, unspecified site"
C8251,"diffuse follicle center lymphoma, lymph nodes of head, face, and neck"
C8260,"cutaneous follicle center lymphoma, unspecified site"
C8261,"cutaneous follicle center lymphoma, lymph nodes of head, face, and neck"
C8280,"other types of follicular lymphoma, unspecified site"
C8281,"other types of follicular lymphoma, lymph nodes of head, face, and neck"
C8290,"follicular lymphoma, unspecified, unspecified site"
C8291,"follicular lymphoma, unspecified, lymph nodes of head, face, and neck"
C8292,"follicular lymphoma, unspecified, intrathoracic lymph nodes"
C8293,"follicular lymphoma, unspecified, intra-abdominal lymph nodes"
C8294,"follicular lymphoma, unspecified, lymph nodes of axilla and upper limb"
C8295,"follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C8296,"follicular lymphoma, unspecified, intrapelvic lymph nodes"
C8297,"follicular lymphoma, unspecified, spleen"
C8298,"follicular lymphoma, unspecified, lymph nodes of multiple sites"
C8299,"follicular lymphoma, unspecified, extranodal and solid organ sites"
C829A,"follicular lymphoma, unspecified, in remission"
C8300,"small cell b-cell lymphoma, unspecified site"
C8301,"small cell b-cell lymphoma, lymph nodes of head, face, and neck"
C8310,"mantle cell lymphoma, unspecified site"
C8311,"mantle cell lymphoma, lymph nodes of head, face, and neck"
C8330,"diffuse large b-cell lymphoma, unspecified site"
C8331,"diffuse large b-cell lymphoma, lymph nodes of head, face, and neck"
C8350,"lymphoblastic (diffuse) lymphoma, unspecified site"
C8351,"lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck"
C8370,"burkitt lymphoma, unspecified site"
C8371,"burkitt lymphoma, lymph nodes of head, face, and neck"
C8380,"other non-follicular lymphoma, unspecified site"
C8381,"other non-follicular lymphoma, lymph nodes of head, face, and neck"
C8390,"non-follicular (diffuse) lymphoma, unspecified, unspecified site"
C8391,"non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck"
C8392,"non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes"
C8393,"non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes"
C8394,"non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb"
C8395,"non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C8396,"non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes"
C8397,"non-follicular (diffuse) lymphoma, unspecified, spleen"
C8398,"non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites"
C8399,"non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites"
C839A,"non-follicular (diffuse) lymphoma, unspecified, in remission"
C8400,"mycosis fungoides, unspecified site"
C8401,"mycosis fungoides, lymph nodes of head, face, and neck"
C8410,"sezary disease, unspecified site"
C8411,"sezary disease, lymph nodes of head, face, and neck"
C8440,"peripheral t-cell lymphoma, not elsewhere classified, unspecified site"
C8441,"peripheral t-cell lymphoma, not elsewhere classified, lymph nodes of head, face, and neck"
C8460,"anaplastic large cell lymphoma, alk-positive, unspecified site"
C8461,"anaplastic large cell lymphoma, alk-positive, lymph nodes of head, face, and neck"
C8470,"anaplastic large cell lymphoma, alk-negative, unspecified site"
C8471,"anaplastic large cell lymphoma, alk-negative, lymph nodes of head, face, and neck"
C84A0,"cutaneous t-cell lymphoma, unspecified, unspecified site"
C84A1,"cutaneous t-cell lymphoma, unspecified lymph nodes of head, face, and neck"
C84A2,"cutaneous t-cell lymphoma, unspecified, intrathoracic lymph nodes"
C84A3,"cutaneous t-cell lymphoma, unspecified, intra-abdominal lymph nodes"
C84A4,"cutaneous t-cell lymphoma, unspecified, lymph nodes of axilla and upper limb"
C84A5,"cutaneous t-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
C84A6,"cutaneous t-cell lymphoma, unspecified, intrapelvic lymph nodes"
C84A7,"cutaneous t-cell lymphoma, unspecified, spleen"
C84A8,"cutaneous t-cell lymphoma, unspecified, lymph nodes of multiple sites"
C84A9,"cutaneous t-cell lymphoma, unspecified, extranodal and solid organ sites"
C84AA,"cutaneous t-cell lymphoma, unspecified, in remission"
C84Z0,"other mature t/nk-cell lymphomas, unspecified site"
C84Z1,"other mature t/nk-cell lymphomas, lymph nodes of head, face, and neck"
C8490,"mature t/nk-cell lymphomas, unspecified, unspecified site"
C8491,"mature t/nk-cell lymphomas, unspecified, lymph nodes of head, face, and neck"
C8492,"mature t/nk-cell lymphomas, unspecified, intrathoracic lymph nodes"
C8493,"mature t/nk-cell lymphomas, unspecified, intra-abdominal lymph nodes"
C8494,"mature t/nk-cell lymphomas, unspecified, lymph nodes of axilla and upper limb"
